circRNA,miRNA,label,used
hsa_circ_0068033,mir-659,1,True
circfam114a2,mir-762,1,True
circyap1,mir-367-5p,1,True
hsa_circ_0005576,mir-153-3p,1,True
hsa_circ_0008717,mir-1252,1,True
hsa_circ_0099999,mir-335-5p,1,True
hsa_circ_0057558,mir-6884,1,True
circrna_0016624,mir-98,1,True
hsa_circ_0046599,mir-4641,0,True
circrip2,mir-1305,1,True
hsa_circ_0043256,mir-1252,1,True
hsa_circrna_100933,mir-514a-5p,1,True
circmto1,mir-17-5p,1,True
hsa_circ_0047688,mir-339-5p,0,True
hsa_circ_0029067,mir-125a,0,True
hsa_circrna_014213,mir-5572,1,True
circpvt1,mir-205-5p,1,True
hsa_circ_0008792,mir-711,1,True
hsa_circ_0004214,mir-485-5p,1,True
hsa-circ-000595,mir-19a,1,True
hsa_circ_0001955,mir-145-5p,1,True
hsa-circrna5974-1,hsa-mir-501-5p,0,True
circtlk1,mir-335-3p,1,True
hsa_circrna_046843,mir-876-5p,1,True
hsa_circ_0002453,mir-3164,1,True
circrna_101873,mir-548p,0,True
hsa_circrna_067209,mir-130a-3p,0,True
hsa_circrna_091420,mir-145-5p,1,True
hsa_circrna_104871,hsa-mir-522-3p,0,True
hsa_circ_0083357,mir-130a-3p,1,True
hsa_circ_0067209,mir-645,0,True
hsa_circ_0001859,mir-204,1,True
circhipk3,mir-4288,1,True
hsa_circ_0000337,mir-345-3p,0,True
circ-foxo3,mir-432-5p,1,True
circ-iars,mir-122,1,True
hsa_circ_0007788,mir-526b-5p,0,True
hsa_circ_0001461,mir-572,0,True
circpum1,mir-615-5p,1,True
circslc3a2,mir-10a,0,True
hsa_circ_0080210,mir-1256,0,True
hsa_circ_0060456,mir-16-5p,1,True
hsa_circ_000926,mir-153-5p,0,True
hsa_circ_0073237,mir-1183,1,True
circ-tcf4.85,mir-486-5p,1,True
hsa_circ_0004458,mir-155-5p,0,True
hsa_circ_0005105,mir-26a,1,True
hsa_circ_0003171,mir-379-5p,0,True
hsa_circ_0001742,mir-431-5p,1,True
hsa_circ_0026388,mir-519d-3p,1,True
circ-fam53b,mir-646,1,True
hsa_circ_0002185,mir-526b-5p,1,True
circ-sox4,mir-101a-3p,0,True
circsept9,mir-637,1,True
hsa_circ_052372,hsa-mir-943,1,True
hsa_circ_0023303,mir-1178-3p,0,True
hsa_circ_0000515,mir-326,1,True
hsa_circ_0051443,mir-211,0,True
hsa_circ_0012384,mir-372,0,True
hsa_circ_0001846,mir-661,1,True
circmmp9,mir-124,1,True
ctfrc,mir-107,1,True
hsa_circ_0068087,mir-197.,1,True
hsa_circ_0009362,mir-296,0,True
hsa_circrna_046843,mir-4753-3p,1,True
hsa_circ_0005105,nampt,1,True
circrhoc,mir-302e,1,True
hsa_circ_0001900,mir-328-5p,1,True
hsa_circ_0060467,mir-361-3p,1,True
cbl.11,mir-6778-5p,1,True
circanks1b,mir-133a-3p,0,True
hsa_circ_0034398,mir-98-5p,0,True
hsa_circ_0013255,mir-873-5p,0,True
hsa_circ_0018069,mir-181b-5p,1,True
hsa_circ_0061868,mir-7-5p,1,True
hsa_circ_0002142,let-7a-5p,0,True
hsa_circ_0072309,mir-492,1,True
hsa_circ_0072309,mir-100,1,True
circmto1,mir-3200-5p,1,True
circ-prmt5,mir-145,1,True
hsa_circ_0082081,mir-489-3p,0,True
hsa_circ_0007294,mir-148a-3p,1,True
hsa_circ_0001187,mir-106a-5p,0,True
hsa_circ_0084043,mir-429,1,True
circusp45,mir-188-3p,0,True
hsa_circ_0003391,mir-30b,0,True
circccdc66,mir-33b,1,True
circ-adam9,mir-217,1,True
hsa_circ_0007915,mir-4316,0,True
hsa_circ_0005273,mir-1183,1,True
hsa_circ_0000073,mir-143,1,True
hsa_circ_0005230,mir-1238,1,True
hsa_circrna_101981,mir-145-5p,1,True
hsa_circ_0084043,mir-149-5p,0,True
circpvt1,mir-4663,1,True
hsa_circ_000367,mir-590-5p,0,True
hsa_circrna_101408,mir-136-5p,1,True
circ-znf652,mir-205,1,True
hsa_circ_0000488,mir-496,1,True
hsa_circ_0001361,mir-491-5p,1,True
hsa_circ_0072309,mir-1972,0,True
hsa_circ_0000554,mir-30c-1*,1,True
circpan3,mir-153-5p,1,True
circ-ttbk2,mir-325,0,True
hsa_circ_0000729,mir-491-5p,0,True
circ_101222,mir-3171,0,True
hsa-circ-0005870,hsa-mir-1273g-3p,1,True
hsa_circ_0006801,mir-1322,0,True
hsa_circ_0001821,let-7,1,True
hsa_circ_0072309,mir-580-3p,1,True
hsa_circ_0079993,mir-130b,0,True
hsa_circ_0005402,mir-766,1,True
circ-tcf4.85,hsa-mir-328-3p,0,True
circrna.20159,sa-mir-940,0,True
hsa_circ_0006168,mir-384,1,True
circrna_101873,mir-221-3p,0,True
circass1,mir-4443,1,True
circmtdh.4,mir-630,1,True
hsa_circ_0002185,mir-6809,0,True
circtcf25,mir-212,0,True
hsa_circ_0018069,mirna-21,0,True
hsa_circ_0025033,mir-1231,1,True
hsa_circ_0044235,mir-144-3p,0,True
circ-adam9,mir-568,0,True
hsa_circ_0141940,mir-29a,1,True
hsa_circ_0079993,mir-139-3p,0,True
hsa_circ_0006168,mir-133a-5p,0,True
circrna_0005941,mir-93-3p,0,True
circ-dicer1,mir-18a-5p,0,True
hsa_circ_0000654,mir-149-5p,1,True
hsa_circ_0001982,mir-143,1,True
hsa_circ_0046701,mir-142-3p,1,True
hsa_circ_0005230,mir-618,1,True
hsa_circ_0045714,mir-193b,1,True
hsa_circ_0070616,mir-23a,0,True
hsa_circ_100338,mir-141-3p,1,True
hsa_circ_0016760,mir-1287,1,True
circkif4a,mir-375,1,True
hsa_circ_0000003,mir-338-3p,1,True
circ_arf3,mir-1299,1,True
hsa_circrna_101408,mir-578,1,True
hsa_circ_0000799,mir-31-5p,1,True
circrna_001275,mir-383,0,True
hsa_circ_0014359,mir-193b,0,True
hsa_circ_0004458,mir-885-5p,1,True
hsa_circ_002082,mir-556-3p,0,True
circhiat1,mir-548,0,True
hsa_circ_0025033,mir-1304,1,True
hsa_circ_0005100,mir-1182,1,True
circ-banp,mir-10b-5p,0,True
circmtdh.4,mir-615-5p,0,True
circpcnxl2,mir-153,1,True
circrna_0086376,mir-3171,0,True
circ-ash2l,mir-34a,1,True
hsa_circ_0070963,mir-9-5p,1,True
circankrd36,hsa-mir-3614-3p,1,True
hsa_circ_0101432,mir-1258,1,True
hsa_circrna_105055,mir-7,1,True
hsa_circ_0008309,mir-136-5p,1,True
circccdc66,mir-4524a-5p,0,True
hsa_circ_0062389,mir-1247-3p,0,True
circrna_11017,mir-4688,0,True
hsa_circ_0024892,mir-566,0,True
hsa_circ_0087206,mir-519d-3p,1,True
hsa_circ_0082824,mir-130a-3p,1,True
circadamts13,mir-484,1,True
hsa_circ_003524,hsa-mir-637,0,True
hsa_circ_0015756,mir-7,1,True
hsa_circ_0127621,mir-888,1,True
hsa_circrna_404457,mir-568,0,True
hsa_circrna_061346,mir-103a-2-5p,1,True
hsa_circ_0001821,mir-637,0,True
hsa_circ_0040705,mir-367-5p,0,True
hsa_circ_0001649,mir-612,1,True
hsa_circ_0006766,mir-192,0,True
circhipk3,mir-124,1,True
circ-rangap1,mir-618,0,True
hsa_circ_0001546,mir-421,1,True
hsa_circ_0009910,mir-335-5p,1,True
hsa_circ_0005870,hsa-mir-1273g-3p,1,True
hsa_circ_0092012,akt3,0,True
hsa_circ_0000175,mir-150,1,True
circshkbp1,mir-379,1,True
hsa_circrna_001654,mir-7,0,True
hsa_circ_0005105,mir-519d-3p,1,True
hsa-circrna-102685,mir-381-3p,0,True
hsa_circ_0012673,mir-320a,1,True
hsa_circ_0004390,mir-198,1,True
hsa_circ_014724,mir-490,0,True
circ-pitx1,mir-329-3p,1,True
circ-foxm1,mir-614,1,True
circrna_036186,mir-193b-3p,1,True
hsa_circ_0005620,mir-99a,0,True
hsa_circ_0078767,mir-665,0,True
hsa_circ_0127621,mir-26a-5p,0,True
circehmt1,mir-1233-3p,1,True
hsa_circ_0000144,mir-217,1,True
hsa_circrna_102296,mir-545-3p,0,True
circmyo10,mir-370-3p,1,True
circdock1,mir-34c,0,True
hsa_circ_0001275,mir-141-5p,0,True
circusp45,mir-127-5p,1,True
circehmt1,mir-93,0,True
circpum1,mir-326,1,True
hsa_circ_0089378,mir-626,0,True
circhipk3,mir-654,1,True
cmras,mir-1290,0,True
circlmtk2,mir-183,1,True
hsa_circrna_100833,mir-181b-5p,0,True
hsa_circ_0059354,mir-1304-5p,0,True
hsa_circ_0026344,mir-21,1,True
hsa_circ_0001427,mir-181c-5p,1,True
circatp2b1,mir-204-3p,1,True
hsa_circ_0001564,mir-29c-3p,1,True
hsa_circ_0002569,mir-567,0,True
circrna_0018168,mir-484,0,True
hsa_circ_0070934,mir-1238,1,True
hsa_circ_0005402,mir-1248,1,True
hsa_circ_0008615,mir-765,0,True
hsa_circ_006100,mir-195,1,True
circatp2b1,mir-646,0,True
hsa_circ_0043278,mir-520f,1,True
circ_0004712,mir-942-5p,0,True
hsa_circ_0008287,mir-548c-3p,1,True
hsa_circ_0067209,mir-522-3p,0,True
hsa_circ_0006848,mir-329-5p,1,True
circpsmc3,mir-296-5p,1,True
circ-eif4g3,mir-6884,0,True
hsa_circ_0081143,mir-646,1,True
hsa_circ_0000204,mir-191,1,True
hsa_circ_000926,mir-5195-3p,0,True
hsa_circ_0004277,hsa-mir-328-3p,1,True
hsa_circ_0062389,mir-1285-5p,0,True
hsa_circ_0037655,mir-200a,0,True
hsa_circ_0061893,mir-9-5p,1,True
circ-sfmbt2,mir-182-5p,1,True
hsa_circ_0070934,mir-135-5p,0,True
hsa_circ_0000567,mir-124-3p,0,True
hsa_circ_0054537,hsa-mir-130a-3p,1,True
circ-znf652,mir-4685-5p,0,True
hsa_circ_0080145,mir-29b,1,True
hsa_circ_0088732,mir-661,1,True
hsa_circ_100242,mir-30a,0,True
hsa_circrna_100533,mir-933,1,True
hsa_circ_0004712,mir-146b-5p,0,True
circpum1,hsa-mir-1273g-3p,0,True
hsa_circ_0005218,mir-625,0,True
circrna_09993,mir-431-5p,0,True
hsa_circ_0004136,mir-3186-3p,0,True
circhiat1,mir-29c-3p,1,True
circfblim1,mir-346,1,True
hsa_circ_0000654,mir-204,0,True
circrna6783,let-7a-5p,0,True
hsa_circ_0001897,microrna,0,True
circ kmt2e,mir-199b-5p,0,True
hsa_circ_0001897,mir-150-5p,1,True
hsa_circ_0000495,mir-488-3p,1,True
circrna_15698,hsa-mir-940,0,True
circepsti1,mir-6809,1,True
hsa_circ_102485,mir-518f-3p,0,True
hsa_circ_0037251,mir-1229-3p,1,True
hsa_circ_0000977,mir-874-3p,1,True
hsa_circ_0113854,mir-526b-5p,0,True
circ-cbfb,epi-mirs,0,True
circmto1,mir-92,1,True
circankrd36,hsa-mir-498,1,True
hsa_circ_100338,mir-1298-3p,0,True
hsa_circ_0000592,mir-33a-3p,1,True
hsa_circ_0103552,mir-1236,1,True
hsa_circrna_0007874,mir-9,1,True
hsa_circ_0091570,mir-2467-3p,0,True
hsa_circ_0019069,mir-519d-3p,1,True
circ_efcab2,mir-485-5p,1,True
hsa_circ_0003028,mir-570-3p,1,True
hsa_circ_0004928,mir-375,1,True
hsa_circ_0106803,mir-20a-5p,0,True
circeif4g2,mir-218,1,True
hsa_circ_052372,mir-382-3p,0,True
circ-prmt5,mir-30c,1,True
hsa_circ_0136666,mir-136,1,True
circ-postn,mir-197.,0,True
hsa_circrna_100933,mir-137,1,True
hsa_circrna_100533,mir-423-5p,0,True
circgfra1,mir-489,0,True
circ_orc2,mir-19a,1,True
circpan3,mir-135-5p,1,True
hsa_circ_0000729,mir-375,1,True
hsa_circ_0007294,mir-152-3p,1,True
hsa_circrna_101764,mir-181,1,True
has_circ_0049220,hsa-mir-10a-5p,0,True
hsa_circ_0056048,mir-31*,0,True
hsa_circ_0061868,mir-3164,0,True
circpcnx,mir-506,1,True
hsa_circ_0006766,mir-34a-5p,0,True
hsa_circrna_406557,mir-182-5p,0,True
circp4hb,mir-101,0,True
circamotl1l,mir-1227,0,True
hsa_circrna_091692,mir-664,0,True
hsa_circ_102470,mir-203a-3p,0,True
circ-foxm1,mir-143-3p,1,True
circrna_100146,mir-361-3p,1,True
circ-pgam1,mir-542-3p,1,True
circanks1b,mir-149,1,True
hsa_circ_100395,mir-1228,1,True
hsa_circ_0002211,mir-31-5p,1,True
hsa_circ_0081143,mir-1265,0,True
hsa_circ_0007843,mir-890,0,True
cbl.11,mir-29a-5p,0,True
hsa_circ_0001727,mir-330-5p,1,True
hsa_circ_0004214,mir-376a,0,True
circrna7231,mir-335-3p,0,True
circrna_100284,mir-378a-3p,0,True
circrna_104871,mir-96-5p,0,True
circ-ash2l,mir-490-3p,0,True
hsa_circ_0059354,mir-302b-3p,1,True
hsa_circrna_100834,mir-23b-5p,1,True
hsa_circ_0004015,mir-1183,1,True
circrhot1,mir-26b,1,True
hsa_circ_0020732,mir-665,1,True
hsa_circ_0008078,mir-206,0,True
circacap2,mir-29a-3p,1,True
hsa_circ_0000263,mir-150-5p,1,True
hsa_circ_406329,hsa-mir-943,1,True
circfoxk2,mir-942,1,True
hsa_circ_0059354,mir-125b-5p,0,True
hsa_circ_0021549,mir-874,0,True
hsa_circ_0002113,mir-527,0,True
circ_specc1,mir-200c-3p,0,True
circ-rad23b,mir-448,0,True
hsa_circ_0005015,mir-19a,0,True
circcep128,mir-145-5p,1,True
hsa_circ_100395,mir-30c-1*,0,True
circ-ube2d2,mir-1287,1,True
circc3p1,mir-4641,1,True
hsa_circ_0137606,mir-376a,0,True
circ-abcb10,mir-1271,1,True
hsa_circrna_104296,mir-135-5p,0,True
circ-znf609,mir-150,1,True
hsa_circ_0101432,mir-622,1,True
circ_103546,mir-664,0,True
hsa_circ_000926,mir-373-3p,0,True
hsa_circ_0000567,mir-421,1,True
hsa_circ_0072765,mir-9-5p,1,True
hsa_circ_0015278,mir-30b,0,True
hsa_circ_0026372,mir-519d-3p,1,True
hsa_circ_0003855,mir-145-5p,1,True
circpdss1,mir-98,0,True
circ-vrk1,mir-331-3p,0,True
circ-ube2d2,mir-1236,1,True
hsa_circ_0051079,mir-26a-5p,1,True
circrna_001569,mir-145,1,True
circhipk3,mir-193a-3p,1,True
hsa_circ_0025036,mir-198,1,True
hsa_circ_0008106,mir-16-5p,1,True
hsa_circ_0037251,mir-208a,0,True
circrip2,mirna-204,0,True
hsa-circrna11783-2,mir-195-5p,0,True
circass1,mir-142-3p,0,True
hsa_circ_0060060,mir-607,0,True
circrna_100290,mir-516b,1,True
hsa_circrna_014213,mir-608,1,True
circacap2,mir-29b-3p,1,True
hsa_circ_0072088,mir-432-5p,0,True
hsa_circ_0004015,mir-585-5p,0,True
hsa_circ_0108308,mir-885-5p,0,True
hsa_circ_0087206,mir-424,0,True
hsa_circ_0018069,mir-34a-5p,1,True
hsa_circ_0006948,mir-490-3p,1,True
circman2b2,mir-1205,1,True
hsa_circ_0011385,mir-361-3p,1,True
hsa_circ_0006916,mir-411-5p,0,True
hsa_circ_407176,hsa-mir-943,1,True
circscaf11,mir-421,1,True
circ_004662,mir-1200,0,True
hsa_circ_082319,hsa-mir-943,1,True
hsa_circ_104075,mirna-218-5p,0,True
circrna_0016624,mir-31*,0,True
hsa_circ_0005075,mir-335,1,True
hsa_circ_0011385,mir-194-5p,0,True
circzfr,mir-107,1,True
hsa_circrna_100257,mir-874-3p,0,True
hsa_circ_0100783,mir-99a,0,True
hsa_circ_0000376,mir-375,1,True
hsa_circ_0072410,mir-519d-3p,1,True
hsa_circ_0041796,mir-519d-3p,1,True
hsa_circ_101396,mir-378a,0,True
hsa_circ_0001368,mir-6506-5p,1,True
hsa_circ_0004846,mir-155,0,True
hsa_circ_014724,mir-6812-5p,0,True
hsa_circ_0022342,crkl,1,True
hsa_circrna_100834,mir-93-3p,1,True
circ-pax2,mir-384,0,True
hsa_circ_0001105,mirna-130a,0,True
hsa_circ_0001649,mir-4688,1,True
circ-fam53b,mir-647,1,True
hsa_circrna_104310,mir-1271-3p,1,True
circirak3,mir-3607,1,True
hsa_circ_0000467,mir-363-3p,0,True
hsa_circrna_000598,mir-22,0,True
hsa_circrna_067209,mir199a2,0,True
circ-erbb2,mir-637,1,True
hsa_circ_0000592,mir-26b,0,True
cdr1as,mir-7-5p,1,True
hsa_circ_0000673,mir-532-5p,1,True
hsa_circ_100290,mir-18a,0,True
circrna_100876,mir-566,0,True
circhipk3,mir-330-5p,1,True
circnek6,mir-370-3p,1,True
hsa_circ_0016788,mir-196b,0,True
hsa_circ_0007534,mir-613,1,True
hsa_circ_0001947,mir-200c,0,True
hsa_circrna_102101,cdk6,0,True
circfoxo3,hif1a,1,True
hsa_circrna_009024,mir-139-3p,0,True
circ-prkci,mir-3680-3p,1,True
hsa_circ_0124644,mir-636,0,True
hsa_circ_0022342,hsa-mir-940,1,True
hsa_circ_0008365,mir-296-5p,0,True
circfblim1,mir-4524a-5p,0,True
hsa_circ_081069,mir-665,1,True
circ-itch,mir-22,1,True
circ-pkd2,mir-204-3p,1,True
circ-dicer1,mir-520f,0,True
czranb1,mir-217,1,True
hsa_circ_0062019,mir-5008,1,True
hsa_circ_0071662,mir-299,0,True
circ_efcab2,mir-5008,0,True
circ-foxp1,mir-421,1,True
circvangl1,mir-1200,0,True
hsa_circ_0002362,ube2a,0,True
hsa_circ_0001649,mir-338-5p,1,True
hsa_circ_0000003,mir-670-5p,0,True
hsa_circ_0041796,mir-302e,0,True
circepsti1,mir-892b,1,True
hsa_circ_0007915,mir-424-5p,1,True
hsa_circ_0089378,mir-130a-3p,1,True
hsa_circ_0007915,mir-106a-3p,1,True
hsa_circrna_004662,mir-4659b-3p,1,True
hsa_circ_101280,mir-375,1,True
hsa_circ_0007294,mir-4269,0,True
hsa_circ_0051172,mir-130a-3p,1,True
hsa_circ_0003258,mir-484,0,True
hsa_circ_0000199,mir-373,0,True
hsa_circ_0000003,mir-16,0,True
hsa_circ_0066922,mir-625-5p,0,True
circrpms1,mir-31,1,True
hsa_circ_0076248,mir-519d-3p,0,True
hsa_circ_0000144,mir-485-3p,0,True
circepsti1,hif1a,0,True
hsa_circrna_101319,mir-197-3p,0,True
circptn,mir-145-5p,1,True
hsa_circ_0004928,mir-1246,0,True
hsa_circ_0005870,hsa-mir-5095,1,True
hsa_circ_0000190,mir-664,0,True
hsa_circrna_102761,mir-7,1,True
hsa_circ_103973,mir-335,1,True
hsa_circ_0004458,mir-25,0,True
hsa_circrna_046843,mir-942-5p,1,True
hsa_circ_0025039,mir-506,0,True
circ-rad23b,mir-653-5p,1,True
hsa_circrna_061346,mir-486,0,True
circ-znf264,mir-211-3p,0,True
hsa_circ_0007534,mir-593,1,True
hsa_circ_0041796,mir-1205,0,True
hsa_circ_0043256,mir-181d-5p,0,True
hsa_circ_0000799,19b,0,True
circatrnl1,mir-542-3p,0,True
hsa_circrna_100750,mir-361-3p,0,True
hsa_circrna_103595,mir-1275,1,True
hsa_circ_101555,hsa-mir-10a-5p,0,True
circnek6,mir-153,0,True
circrna_0072309,mir-665,1,True
hsa_circ_0008450,mir-577,1,True
circrna_0047905,mir-6778-5p,0,True
circ_vps37c,mir-29b-3p,0,True
circptn,mir-146b-3p,0,True
circptn,mir-29b-1-5p,0,True
hsa_circ_0068489,mir-519d-3p,1,True
hsa_circ_0000519,mir-130b,0,True
hsa_circ_0005239,mir-455-3p,0,True
circmat2b,mir-26a-5p,0,True
hsa_circ_001653,mir-377,1,True
hsa_circ_0004712,mir-876-3p,1,True
hsa_circ_0026143,mir-4659b-3p,0,True
circ-pgam1,mir-29b,0,True
hsa_circrna_100782,mir-146a-5p,0,True
hsa_circ_cspp1,mir-181,0,True
hsa_circ_0003146,mir-17-3p,0,True
hsa_circ_0036877,mir-10a,0,True
hsa_circ_0012342,mir-214-3p,1,True
circirak3,mir-421,0,True
cdr1as,mir-7,1,True
hsa_circ_103783,mir-5196-3p,0,True
hsa_circ_0005230,mir-1299,1,True
hsa_circ_0015756,mir-152-3p,0,True
circptpn22,mir-518f-3p,0,True
circ-znf609,mir-203a-3p,0,True
hsa_circ_0000594,mir-217,1,True
hsa_circrna_0054633,mir-328-5p,0,True
hsa_circ_0026134,mir-1256,1,True
hsa_circrna_014213,mir-431,0,True
hsa_circ_0070616,mir-29b-3p,0,True
circ-itch,mir-93-5p,1,True
circhiat1,mir-29a-3p,1,True
hsa_circ_0092303,mir-331-3p,1,True
circrna-chr19,mir-622,0,True
circnrip1,mir-505,1,True
circmto1,mir-221,1,True
circwhsc1,mir-1182,1,True
circepsti1,mir-942,1,True
hsa_circ_0000554,mir-339-5p,1,True
hsa_circ_0079993,mir-134,0,True
circlmtk2,mir-486-5p,0,True
hsa_circrna_014213,mir-6819-5p,1,True
circ-itch,mir-128,1,True
circdync1h1,mir-363-3p,0,True
hsa_circ_0000592,mir-139-3p,1,True
circrip2,mir-4319,0,True
circmto1,mir-19b-3p,1,True
hsa_circ_0001105,mir-766,1,True
hsa_circ_0001801,mir-628-5p,1,True
hsa_circrna_100834,mir-181a-2-3p,1,True
circ_0002198,mir-486-5p,0,True
circrna-0067835,mir-155,1,True
hsa-circ-0008139,mir-454-3p,0,True
hsa_circ_0005963,mir-122,1,True
hsa_circ_0066922,mir-519d-3p,1,True
hsa_circ_0003258,mir-203,1,True
circznf609,mir-615-5p,1,True
circptgr1,mir-449a,1,True
circ_stk17a,mir-103a-2-5p,0,True
hsa_circ_000367,mir-3607,0,True
hsa_circ_0014130,mir-224-5p,0,True
hsa_circ_0062389,mir-103a-3p,1,True
circrna_13478,mir-302b-3p,0,True
circlmtk2,mir-152,0,True
circfgfr3,mir-22-3p,1,True
hsa_circ_0006282,mir-155,1,True
hsa_circ_0001098,mir-4760-3p,1,True
hsa_circ_0089310,mir-148a-3p,0,True
hsa_circ_0054537,mir-211-3p,0,True
circ_stk24,mir-1229-3p,0,True
hsa_circ_0067934,mir-1324,1,True
hsa_circrna_061346,mir-5196-3p,1,True
hsa_circ_0023404,mmp13,1,True
hsa_circ_0072765,mir-762,0,True
hsa_circ_0000592,mir-200,1,True
hsa_circ_0037909,mir-4493,0,True
hsa_circ_0007915,mir-379-5p,0,True
hsa_circrna_102116,mir-142-3p,0,True
hsa_circrna_104296,mir-1228,0,True
hsa_circ_006100,mir-96-3p,0,True
hsa_circ_0023956,mir-4641,0,True
hsa_circ_0025202,mir-182-5p,1,True
circfgfr3,mir-646,0,True
hsa_circrna_101873,mir-103,0,True
circzfr,mir-377,1,True
hsa_circrna_406918,mir-767-3p,0,True
hsa_circ_0075001,mir-379-5p,0,True
hsa_circ_0000654,mir-363-3p,0,True
circrna_104433,mir-200s,0,True
hsa_circ_0136666,mir-590-5p,0,True
hsa_circ_0001313,mir-338-3p,1,True
hsa_circ_0089378,mir-374b-5p,0,True
circrhot1,mir-330,1,True
hsa_circ_0000175,mir-933,0,True
hsa_circ_0057093,mir-519d-3p,1,True
circ-pitx1,mir-379-5p,1,True
hsa_circ_0082374,let-7,1,True
circrna_100284,mir-143,0,True
circ-foxm1,mir-203a-3p.1,0,True
circrna_0072309,mir-597-5p,0,True
circlarp4,mir-761,1,True
circptn,mir-330-5p,1,True
hsa_circ_0079593,mir-433,1,True
hsa_circ_0004712,let-7g-5p,1,True
hsa_circ_0001451,mir-29b-1-5p,0,True
circrhot1,mir-202,0,True
hsa-circ-0005870,mir-431-5p,0,True
hsa_circ_0054537,mir-130a-3p,1,True
circman2b2,mir-217,1,True
hsa_circ_001569,mir-411-5p,1,True
hsa_circ_0017446,mir-182-5p,0,True
hsa_circ_0000554,mir-30c-2*,1,True
hsa_circ_0001445,mir-568,0,True
hsa_circ_0001859,mir-770-5p,0,True
circnr3c1,mir-181b,0,True
hsa_circ_0003028,mir-552-3p,1,True
hsa_circ_0078768,mir-664,0,True
hsa_circ_0000735,mir-1179,1,True
hsa_circ_402458,hsa-mir-943,1,True
circrna_0046366,mir-34a,1,True
circirak3,mir-137-3p,0,True
hsa_circ_0001721,mir-933,0,True
hsa_circ_0006404,mir-29a-3p,1,True
hsa_circ_0000554,mir-122*,1,True
hsa_circ_0000254,mir-1304,0,True
hsa_circ_0053277,mir-885-5p,0,True
circrna_100876,mir-1253,0,True
