circRNA,miRNA,label,used
circdennd4c,mir-200c,1,True
hsa_circ_0057481,mir-425,0,True
hsa_circ_0059655,mir-338-3p,1,True
hsa_circrna_100834,mir-873-5p,1,True
circpip5k1a,mir-1273a,1,True
circkdm4c,mir-548p,1,True
hsa_circ_00001666,mir-1229,1,True
hsa_circ_0137439,mir-142-5p,1,True
circ-itch,mir-216b,1,True
hsa_circ_0042666,mir-223,1,True
hsa_circ_0000488,hsa-mir-496,1,True
hsa_circrna_104310,mir-499a-3p,1,True
circbmpr2,mir-553,1,True
circfoxo3,id-1,1,True
circ-cep85l,mir-942-5p,1,True
hsa_circrna_014213,mir-6812-5p,1,True
circ-nsd2,mir-199b-5p,1,True
hsa_circ_0074026,mir-1304,1,True
hsa-circ-0040809,mir-585-5p,0,True
hsa_circrna_104387,crkl,0,True
hsa_circ_0074027,mir-518a-5p,1,True
hsa_circrna_100833,mir-139b-5p,1,True
hsa_circ_0051240,mir-637,1,True
hsa_circ_0001772,mir-149,1,True
hsa_circrna_004662,mir-4713-5p,1,True
hsa_circ_0002142,mir-625-5p,1,True
circrna_atp9b,mir-138-5p,1,True
hsa_circ_0007843,mir-518c-5p,1,True
hsa_circ_0072391,mir-503-5p,1,True
circasap1,mir-532-5p,1,True
circrhobtb3,mir-654-3p,1,True
hsa_circ_0014130,mir-600,1,True
circhectd1,mir-1256,1,True
circdync1h1,mir-140-5p,1,True
hsa_circ_0079593,mir-182,1,True
circ-itch,mir-214,1,True
hsa_circ_0009910,mir-300,0,True
hsa_circ_0000190,mir-767-5p,1,True
hsa_circ_0000911,mir-1271,1,True
hsa_circ_0061140,mir-149-5p,1,True
hsa_circ_0091581,mir-526c,1,True
hsa_circ_0009128,mir-1253,0,True
circ_slc19a1,mir-497,1,True
circmllt10,mir-509-3-5p,1,True
hsa_circ_0015758,mir-149,1,True
circ-vrk1,mir-624-3p,1,True
circ-abcb10,let-7a-5p,1,True
hsa_circ_0001451,mir-197-3p,1,True
hsa_circ_0000993,mir-214-5p,1,True
hsa_circ_0079993,mir-203a-3p.1,1,True
hsa_circ_100219,mir-485-3p,1,True
circhiat1,mir-3171,1,True
hsa_circ_0004277,hsa-mir-892b,1,True
hsa-circrna-102685,hsa-mir-146a-5p,1,True
hsa_circ_0053277,mir-2467-3p,1,True
circ-itch,mir-224,1,True
circrna_0047905,mir-1227-5p,1,True
circ-prkci,mir-589,1,True
hsa_circrna_101996,mir-145-5p,1,True
cznf609,mir-184,1,True
hsa_circ_0052012,mir-96-5p,0,True
circhiat1,mir-195-5p,1,True
hsa_circ_0062557,mir-188-3p,0,True
hsa_circ_0002078,let-7b,0,True
hsa_circ_0001400,mir-146a-5p,0,True
hsa_circrna_046843,mir-3911,1,True
circ-itch,mir-17,1,True
hsa_circrna_406557,mir-27b,0,True
circrna_000911,mir-449a,1,True
hsa_circrna_002178,mir-328-3p,1,True
circgfra1,mir-188-3p,1,True
hsa_circrna_005019,mir-142-5p,0,True
hsa_circ_0053743,mir-142,0,True
circnasp,mir-1253,1,True
circhipk3,mir-107,1,True
hsa_circ_0005986,mir-129-5p,1,True
circclk3,mir-320a,1,True
hsa_circ_0004928,mir-4701-5p,0,True
hsa_circ_000839,mir-200b,1,True
hsa_circ_0001649,mir-331-3p,1,True
circmat2b,mir-338-3p,1,True
hsa_circ_0020123,mir-144,1,True
circepsti1,mir-4753,1,True
hsa-circ-0005870,hsa-mir-5096,1,True
circuvrag,mir-223,1,True
circnup214,mir-145,1,True
circrna-acap2,mir-21-5p,1,True
hsa_circ_0043949,mir-7161-3p,1,True
circ-lamp1,mir-615-5p,1,True
hsa_circ_0001410,mir-7,0,True
circrna_8924,mir-518d-5p,1,True
hsa_circ_0093996,mir-181d,0,True
hsa_circ_0002062,cdk6,1,True
circabcc4,mir-3186-3p,1,True
hsa_circ_0074027,mir-6809,0,True
hsa_circ_0000073,mir-6845-5p,0,True
circ-foxo3,mir-138-5p,1,True
hsa_circ_0000092,mir-338-3p,1,True
circ-satb2,mir-939,1,True
circfarsa,mir-330-5p,1,True
hsa_circ_0067934,mir-1304,1,True
circrna_104670,mir-17-3p,1,True
hsa_circ_0007255,mir-335-5p,1,True
circ-ezh2,mir-1265,1,True
hsa_circ_0006801,mir-485-5p,0,True
circrna_100876,mir-136,1,True
hsa_circrna_100833,mir-495-3p,1,True
hsa_circ_102470,mir-196a,0,True
circatxn7,mir-4319,1,True
circrna_11058,mir-4726-5p,0,True
circ-cdyl,mir-1275,1,True
circ_slc19a1,mir-185-5p,0,True
circslc8a1,mir-494,1,True
circubxn7,mir-1247-3p,1,True
hsa_circ_0072995,mir-30c-2-3p,1,True
circ-znf609,mir-186-5p,1,True
hsa_circ_0005963,mir-425-5p,0,True
circznf609,mef2a,1,True
hsa_circ_0012342,let-7e-5p,1,True
circ kmt2e,mir-204-5p,1,True
hsa_circ_0001206,mir-1285-5p,1,True
hsa-circrna-102685,hsa-mir-146b-5p,1,True
hsa_circ_0028882,mir-26a-5p,0,True
circ-znf652,mir-101b,0,True
circ-cep85l,mir-665,0,True
hsa_circ_0082824,hsa-mir-130a-3p,1,True
hsa_circ_0000792,mir-375,1,True
hsa_circ_0056618,mir-206,1,True
hsa_circ_0088452,mir-19b,0,True
circ-abcb10,mir-340-5p,1,True
hsa_circ_0012384,mir-302e,1,True
circrpms1,mir-451,1,True
circzc3h4,mir-452-3p,0,True
hsa_circ_0075341,mir-149-5p,1,True
circ-acaca,mir-1183,1,True
hsa_circ_0056288,mir-125b-5p,1,True
hsa_circ_0078767,mir-330-3p,1,True
circrgnef,mir-548,1,True
hsa_circ_0001819,mir-216a-5p,0,True
circ-eno1,mir-22-3p,1,True
circ_specc1,mir-526b,1,True
hsa_circ_0008234,mir-370,1,True
hsa_circrna_103047,mir-490-3p,0,True
hsa_circ_101555,mir-597-5p,1,True
hsa_circ_087631,hsa-mir-943,1,True
circ-prmt5,mir-188-5p,1,True
hsa_circ_0001785,mir-1200,1,True
circbmpr2,mir-205-3p,0,True
circrna_0084927,hsa-mir-496,0,True
circfgfr1,mir-381-3p,1,True
hsa_circ_0000199,mir-198,1,True
hsa_circ_0039569,mir-542-3p,1,True
hsa_circ_0001971,mir-194,1,True
circ-hipk2,mir-124-3p,1,True
hsa_circ_0051443,mir-331-3p,1,True
circtcf25,mir-206,1,True
circasap1,mir-326,1,True
hsa_circ_0000414,mir-507,0,True
circhiat1,mir-21,1,True
circlarp4,mir-424,1,True
hsa_circ_0043949,mir-5195-3p,1,True
circrna_atp9b,let-7f,0,True
hsa_circ_0001946,mir-671-5p,1,True
hsa_circrna_101408,mir-34b-5p,1,True
hsa_circ_0041103,mir-103a-3p,1,True
circdennd4c,mir-760,1,True
circgucy1a2,mir-143,1,True
hsa_circ_0025202,cdk6,0,True
hsa_circ_0000414,mir-203a-3p,0,True
hsa_circ_0001400,mir-425-5p,0,True
hsa_circ_0006528,mir-7-5p,1,True
circ-akt3,mir-296-3p,1,True
circ_103124,mir-620,0,True
hsa_circ_0001907,mir-454-3p,0,True
hsa_circ_0052112,mir-125a-5p,1,True
hsa_circ_0000523,mir-31,1,True
hsa_circ_0007874,mir-760,1,True
hsa_circ_0057481,mir-200c,1,True
circrna-0004904,mir-607,0,True
circ-abcb10,mir-556-3p,1,True
circrapgef5,mir-198,1,True
hsa_circ_0043949,mir-1257,1,True
hsa_circ_101396,mir-126-5p,0,True
hsa_circ_0055625,mir-218-5p,0,True
hsa_circ_0025039,mirna-29a-3p,0,True
hsa_circ_0002161,mir-1245,0,True
hsa_circ_0007534,mir-625,1,True
circtnfrsf21,mir-199a-5p,0,True
hsa_circ_0003028,mir-17-3p,1,True
circnrip1,mir-149-5p,1,True
circ kmt2e,mir-34a-3p,0,True
hsa_circrna_104310,mir-197-3p,1,True
hsa_circrna_008068,mir-145-3p,1,True
hsa_circ_0020123,mir-488-3p,1,True
circrnf13,mir-93-5p,1,True
hsa_circ_0056731,mir-125a-5p,0,True
hsa_circrna_100833,mir-765,1,True
circ-pde8a,mir-338,1,True
hsa_circ_0022342,sa-mir-940,1,True
hsa_circrna_102336,mir-515-5p,1,True
hsa_circ_0023404,mir-5047,1,True
hsa_circ_0103809,mir-490-5p,1,True
hsa_circ_0006427,mir-6783-3p,1,True
circ-abcb10,mir-452-5p,1,True
hsa-circrna5974-1,mir-496,0,True
circslc3a2,mir-490-3p,1,True
circatrnl1,mir-23a-3p,1,True
circ-pde8a,mir-197-3p,0,True
hsa_circ_0070934,mir-1247-5p,1,True
hsa_circ_0001801,mir-224-5p,1,True
circdock1,mir-1273a,0,True
circplekhm3,mir-9,1,True
circ-dcaf6,mir-1231,1,True
hsa_circ_0007385,mir-181,1,True
hsa_circ_0004846,mir-1244,1,True
