miRNA,disease,label,used
mir-422a,esophageal squamous cell carcinoma,1,True
mir-23a,irradiated hepatic stellate cell,0,True
mir-34,sciatica,1,True
mir-323a-5p,facet joint osteoarthritis,0,True
mir-218,active pulmonary tuberculosis,0,True
mir-382,"carcinoma, hepatocellular",1,True
mir-766-3p,"carcinoma, hepatocellular",1,True
mir-338-3p,colonic neoplasms,1,True
ube2a,alzheimer disease,1,True
mir128-1-3p,facet joint osteoarthritis,0,True
mir-578,"thyroid cancer, papillary",1,True
mir-31-5p,urinary bladder neoplasms,1,True
mir-197,endometrial neoplasms,1,True
mir-383,"lupus erythematosus, systemic",0,True
mir-375,stomach neoplasms,1,True
mir-449c-5p,stomach neoplasms,1,True
mir-636,urinary bladder neoplasms,1,True
mir-582-3p,"carcinoma, hepatocellular",1,True
mir-193b,osteoarthritis,1,True
mir-133,stomach neoplasms,1,True
mir-548,urinary bladder neoplasms,1,True
mir-185,diabetic nephropathies,1,True
mir-20a,colorectal neoplasms,1,True
mir-370-3p,thyroid neoplasms,1,True
mir-377,urinary bladder neoplasms,1,True
mir-34a,breast neoplasms,1,True
mir-892a,"carcinoma, hepatocellular",1,True
mir-506-3p,lupus nephritis,0,True
mir-1271,"carcinoma, ovarian epithelial",1,True
mir-106a-5p,leukoaraiosis,0,True
mir-328-3p,breast neoplasms,1,True
hsa-mir-3614-3p,"diabetes mellitus, type 2",1,True
mir-1258,"carcinoma, hepatocellular",1,True
mir-136-5p,stomach neoplasms,1,True
mir-638,glioma,1,True
mir-664,"lymphoma, large b-cell, diffuse",0,True
mir-1247-3p,urinary bladder neoplasms,1,True
mir-29b,"lupus erythematosus, systemic",1,True
mir-184,diabetic retinopathy,1,True
mir-200c,breast neoplasms,1,True
mir-566,silicosis,0,True
mir-888,"lymphoma, large b-cell, diffuse",1,True
mir-939,coronary atherosclerotic heart disease,1,True
mir-103a-2-5p,"thyroid cancer, papillary",1,True
mir-367-5p,stomach neoplasms,1,True
mir-612,"carcinoma, hepatocellular",1,True
mir-192,"carcinoma, mucoepidermoid",0,True
mir-92a-3p,"carcinoma, hepatocellular",0,True
mir-124,breast neoplasms,1,True
mir-873-5p,cutaneous squamous cell carcinoma,1,True
mir-142-5p,urinary bladder neoplasms,1,True
mir-216b,colorectal neoplasms,1,True
hsa-mir-496,"leukemia, myeloid, acute",1,True
mir-499a-3p,infantile hemangioma,1,True
mir-553,breast neoplasms,1,True
id-1,cardiac senescence,1,True
mir-485-3p,endometriosis,0,True
mir-379,glioma,1,True
mir-942-5p,uterine cervical neoplasms,1,True
mir-518a-5p,glioblastoma,1,True
mir-139b-5p,cutaneous squamous cell carcinoma,1,True
mir-515-5p,mucocutaneous lymph node syndrome,0,True
mir-381-3p,"carcinoma, non-small-cell lung",1,True
mir-320a,uterine cervical neoplasms,1,True
mir-198,stomach neoplasms,1,True
mir-4713-5p,"thyroid cancer, papillary",1,True
mir-490,"diabetes mellitus, type 2",0,True
mir-518c-5p,colonic neoplasms,1,True
mir-329-3p,glioma,1,True
mir-614,"carcinoma, non-small-cell lung",1,True
mir-99a,melanoma,0,True
mir-1299,triple negative breast neoplasms,1,True
mir-1233-3p,breast neoplasms,1,True
mir-532-5p,stomach neoplasms,1,True
mir-654-3p,stomach neoplasms,1,True
mir-600,colorectal neoplasms,1,True
mir-96-3p,sciatica,0,True
mir-140-5p,"carcinoma, hepatocellular",1,True
mir-214,colorectal neoplasms,1,True
mir-34c,"diabetes, gestational",0,True
mir-300,cardiac fibrosis,0,True
mir-767-5p,multiple myeloma,1,True
mir-526c,"carcinoma, hepatocellular",1,True
mir-626,urinary bladder neoplasms,1,True
mir-4753,triple negative breast neoplasms,1,True
mir-145-5p,coronary atherosclerotic heart disease,0,True
mir-497,lung neoplasms,1,True
mir-509-3-5p,stomach neoplasms,1,True
mir-181b-5p,urinary bladder neoplasms,1,True
mir-183,stomach neoplasms,1,True
mir-624-3p,esophageal squamous cell carcinoma,1,True
mir-197-3p,stomach neoplasms,1,True
mir-654,glioma,1,True
mir-1304-5p,osteosarcoma,1,True
mir-203a-3p.1,colorectal neoplasms,1,True
mir-449b-5p,urinary bladder neoplasms,0,True
mir-29b-3p,myocardial senescence,0,True
mir-3171,"carcinoma, hepatocellular",1,True
hsa-mir-892b,leukemia,1,True
mir-204-3p,"carcinoma, renal cell",1,True
hsa-mir-146a-5p,crohn disease,1,True
mir-224,urinary bladder neoplasms,1,True
mir-1227-5p,stomach neoplasms,1,True
mir-7,stomach neoplasms,1,True
mir-589,adenocarcinoma of lung,1,True
mir-145-3p,prostatic neoplasms,1,True
mir-1236-3p,ovarian neoplasms,1,True
mir-1238,herpes simplex,0,True
mir-1248,multiple sclerosis,1,True
mir-195,stomach neoplasms,1,True
mir-146a-5p,"leukemia, myelogenous, chronic, bcr-abl positive",0,True
mir-3911,"thyroid cancer, papillary",1,True
mir-17,urinary bladder neoplasms,1,True
mir-520f,"carcinoma, non-small-cell lung",1,True
mir-566,multiple system atrophy,0,True
mir-329-5p,stomach neoplasms,1,True
mir-142,stomach neoplasms,0,True
mir-646,stomach neoplasms,1,True
mir-5195-3p,glioblastoma,1,True
hsa-mir-328-3p,leukemia,1,True
mir-1285-5p,prostatic neoplasms,1,True
mir-141-5p,"depressive disorder, major",0,True
mir-4701-5p,crohn disease,0,True
mir-200a,"carcinoma, hepatocellular",1,True
mir-452-5p,primary great saphenous vein varicosities,0,True
mir-331-3p,stomach neoplasms,1,True
mir-181c-5p,"prostatic neoplasms, castration-resistant",1,True
mir-144,"carcinoma, non-small-cell lung",1,True
mir-124-3p,"leukemia, promyelocytic, acute",1,True
mir-182-5p,breast neoplasms,1,True
hsa-mir-5096,hypertension,1,True
mir-539-5p,precursor cell lymphoblastic leukemia-lymphoma,0,True
mir-223,urinary bladder neoplasms,1,True
mir-4685-5p,multiple system atrophy,0,True
mir-29b,"leukemia, myelogenous, chronic, bcr-abl positive",1,True
mir-185-5p,heart failure,0,True
mir-21-5p,colonic neoplasms,1,True
mir-7161-3p,glioblastoma,1,True
mir-149,colorectal neoplasms,1,True
mir-30a,"lymphoma, large b-cell, diffuse",0,True
mir-556-3p,lung neoplasms,1,True
mir-518d-5p,uterine cervical neoplasms,1,True
mir-184,lymphangiogenesis,1,True
mir-146b-5p,"liver diseases, alcoholic",0,True
mir-181d,irradiated hepatic stellate cell,0,True
mir-629,"carcinoma, hepatocellular",1,True
hif1a,cardiac senescence,1,True
mir-3186-3p,adenocarcinoma of lung,1,True
hsa-mir-1273g-3p,hypertension,1,True
mir-6845-5p,endometrial neoplasms,0,True
mir-335-5p,breast neoplasms,1,True
mir-29c-3p,"carcinoma, renal cell",1,True
mir-21-5p,asthma,0,True
mir-346,"carcinoma, hepatocellular",1,True
mir-204,squamous cell carcinoma of head and neck,1,True
mir-495-3p,cutaneous squamous cell carcinoma,1,True
mir-199b-5p,colorectal neoplasms,1,True
mir-196a,lung squamous cell carcinoma,0,True
mir-4319,stomach neoplasms,1,True
mir-4778-3p,"thyroid cancer, papillary",1,True
mir-6809,triple negative breast neoplasms,1,True
mir-4726-5p,squamous cell carcinoma of head and neck,1,True
mir-494,urinary bladder neoplasms,1,True
mir-1275,breast neoplasms,1,True
mir-518f-3p,infantile hemangioma,1,True
mir-186-5p,stomach neoplasms,1,True
mir-425-5p,multiple system atrophy,0,True
mir-1229-3p,glioma,1,True
mir-296-5p,"prostatic neoplasms, castration-resistant",0,True
mir-874-3p,"carcinoma, pancreatic ductal",1,True
mef2a,vascular endothelial dysfunction,1,True
epi-mirs,lung neoplasms,0,True
mir-124,gallbladder neoplasms,1,True
mir-92,glioblastoma,1,True
hsa-mir-498,"diabetes mellitus, type 2",1,True
mir-346,"lymphoma, large b-cell, diffuse",0,True
let-7e-5p,"carcinoma, mucoepidermoid",1,True
mir-101b,"diabetes, gestational",0,True
mir-1298-3p,infantile hemangioma,1,True
mir-33a-3p,stomach neoplasms,1,True
hsa-mir-130a-3p,coronary artery disease,1,True
mir-26a-5p,"tuberculosis, pulmonary",0,True
mir-340-5p,"carcinoma, hepatocellular",1,True
mir-488-3p,squamous cell carcinoma of head and neck,1,True
mir-205,"carcinoma, renal cell",1,True
mir-2467-3p,colorectal neoplasms,1,True
mir-451,nasopharyngeal carcinoma,1,True
mir-452-3p,diabetes mellitus,0,True
mir-143,ischemic stroke,1,True
mir-485-3p,multiple myeloma,0,True
mir-330-3p,"carcinoma, non-small-cell lung",1,True
mir-148a,"carcinoma, ovarian epithelial",0,True
mir-218,uterine cervical neoplasms,1,True
mir-30c,urinary bladder neoplasms,1,True
mir-136,breast neoplasms,1,True
mir-542-3p,endometrial neoplasms,1,True
mir-197.,diabetes mellitus,1,True
mir-137,infantile hemangioma,1,True
