miRNA,disease,label,used
mir-516b-5p,lung neoplasms,1,True
mir-942,ovarian neoplasms,1,True
mir-125a,pancreatic neoplasms,1,True
mir-1207-5p,aortic aneurysm,0,True
mir-6819-5p,"thyroid cancer, papillary",1,True
mir-711,osteosarcoma,1,True
mir-128,colorectal neoplasms,1,True
mir-125b-5p,osteosarcoma,1,True
mir-19b-3p,"carcinoma, non-small-cell lung",1,True
mir-145,colorectal neoplasms,1,True
mir-766,osteosarcoma,1,True
mir-628-5p,glioblastoma,1,True
hsa-mir-571,colonic neoplasms,0,True
mirna-218-5p,"epilepsy, temporal lobe",0,True
mir-181a-2-3p,cutaneous squamous cell carcinoma,1,True
mir-1261,glioma,1,True
mir-766,multiple sclerosis,1,True
mir-96-5p,"carcinoma, non-small-cell lung",1,True
mir-193a-5p,prostatic neoplasms,1,True
mir-659,breast neoplasms,1,True
mir-767-3p,"carcinoma, hepatocellular",1,True
mir-640,essential hypertension,0,True
mir-326-5p,cardiac senescence,0,True
mir-127-5p,glucocorticoid-induced osteonecrosis of femoral head,1,True
mir-34a,fatty liver,1,True
mir-140-3p,glioblastoma,1,True
mir-19b,osteosarcoma,1,True
mir-205-3p,glioma,0,True
mir-3607,breast neoplasms,1,True
mmp13,osteoarthritis,1,True
hsa-mir-182-5p,crohn disease,1,True
mir-224-5p,glioma,1,True
mir-202,immunosenescence,0,True
mir-122,"liver diseases, alcoholic",1,True
mir-527,glioma,1,True
mir-152,mucocutaneous lymph node syndrome,0,True
mir-9-5p,liver cirrhosis,1,True
mir-22-3p,"carcinoma, non-small-cell lung",1,True
mir-449a,breast neoplasms,1,True
mir-4760-3p,breast neoplasms,1,True
hsa-mir-146b-5p,mucocutaneous lymph node syndrome,0,True
mir-140,"liver diseases, alcoholic",0,True
mir-1265,urinary bladder neoplasms,1,True
mir-101-3p,colorectal neoplasms,1,True
hsa-mir-30c-1-3p,leukemia,1,True
mir-211-3p,infantile hemangioma,0,True
mir-335,uterine cervical neoplasms,1,True
mir-1324,"carcinoma, hepatocellular",1,True
mir-5196-3p,"thyroid cancer, papillary",1,True
mmp13,osteoporosis,0,True
mir-183,retinoblastoma,1,True
mir-762,urinary bladder neoplasms,1,True
mir-200,stomach neoplasms,1,True
mir-3666,urinary bladder neoplasms,1,True
mir-133a-5p,"carcinoma, non-small-cell lung",1,True
mir-142-3p,glioma,1,True
mir-466i-5p,prostatic neoplasms,0,True
mir-4641,"carcinoma, hepatocellular",1,True
mir-149-5p,uterine cervical neoplasms,1,True
mir-522-3p,lung neoplasms,1,True
mir-363-3p,glioma,0,True
mir-200s,alzheimer disease,0,True
mir-590-5p,"diabetes, gestational",0,True
mir-4640-5p,squamous cell carcinoma of head and neck,1,True
mir-125a-3p,glioma,1,True
mir-323a-5p,"arthritis, rheumatoid",1,True
mir-330,pancreatic neoplasms,1,True
mir-933,squamous cell carcinoma of head and neck,1,True
mir-30b-3p,hematopoiesis,0,True
mir-374b-5p,"carcinoma, non-small-cell lung",0,True
mir-148b-3p,endometriosis,0,True
mir-338-3p,salivary adenoid cystic carcinoma,1,True
mir-379-5p,glioblastoma,1,True
mir-370,gallbladder neoplasms,1,True
mir-6812-5p,"thyroid cancer, papillary",1,True
mir-377-3p-e2f3,cholangiocarcinoma,0,True
mir-1229,colonic neoplasms,1,True
mir-143,breast neoplasms,1,True
mir-525-5p,hepatoblastoma,0,True
mir-326-3p,stomach neoplasms,1,True
mir-138-5p,glioma,1,True
mir-761,glioma,1,True
mir-433,uterine cervical neoplasms,1,True
let-7g-5p,"arthritis, rheumatoid",1,True
mir-743b-5,colorectal neoplasms,0,True
mir-4302,lung neoplasms,1,True
mir-7,osteosarcoma,1,True
mir-221,carotid plaque rupture,1,True
mir-214-5p,stomach neoplasms,1,True
mir-539-5p,squamous cell carcinoma of head and neck,0,True
mir-127-5p,"carcinoma, hepatocellular",1,True
mir-431-5p,squamous cell carcinoma of head and neck,1,True
mir-130a-3p,lung neoplasms,0,True
mir-548g,stomach neoplasms,1,True
mir-411-5p,"carcinoma, hepatocellular",1,True
mir-484,repeated implantation failure,0,True
mir-431,"vitreoretinopathy, proliferative",0,True
mir-670-5p,esophageal squamous cell carcinoma,1,True
mir-30c-2*,esophageal neoplasms,1,True
mir-770-5p,hepatoblastoma,0,True
mir-181b,esophageal squamous cell carcinoma,0,True
fak,cardiac senescence,1,True
mir-125b-1,ischemic stroke,0,True
mir-552-3p,liver neoplasms,1,True
mir-19,myocardial infarction,0,True
mir-137-3p,pancreatic neoplasms,1,True
mir-7,alzheimer disease,1,True
mir-1179,"carcinoma, non-small-cell lung",1,True
mir-99a,"liver cirrhosis, biliary",0,True
mir-122*,esophageal neoplasms,1,True
mir-184,tuberculosis,0,True
mir-940,thyroid neoplasms,1,True
mir-875-3p,"carcinoma, hepatocellular",1,True
mir-885-5p,"thyroid cancer, papillary",1,True
mir-1253,"carcinoma, non-small-cell lung",1,True
