node_type,layer,mean,std,median,q10,q90
circRNA,layer1,0.9358320832252502,0.06044934689998627,0.9540693759918213,0.844690591096878,0.9968227744102478
circRNA,layer2,0.9483133554458618,0.04448344185948372,0.9595901966094971,0.8781454801559448,0.99592946767807
circRNA,layer3,0.9415988922119141,0.050520140677690506,0.9540859460830688,0.8736484050750732,0.9958615899085999
circRNA,layer4,0.9119536876678467,0.1270063817501068,0.9521856307983398,0.8051989674568176,0.996289074420929
disease,layer1,0.8238694667816162,0.17076484858989716,0.878374457359314,0.5469832420349121,0.9956305623054504
disease,layer2,0.8433412909507751,0.13259008526802063,0.8748069405555725,0.651686429977417,0.9949239492416382
disease,layer3,0.8027558326721191,0.1712062954902649,0.8227376937866211,0.5481597185134888,0.9939950108528137
disease,layer4,0.4411114752292633,0.6287215352058411,0.821333646774292,-0.5993995666503906,0.9965073466300964
