ablation,mean_auc,std_auc,mean_aupr,std_aupr,delta_auc,delta_aupr,pct_drop_auc,pct_drop_aupr
mask GIP disease–disease,0.4884975134633719,0.0189108995625503,0.5117181581631725,0.018833868330499985,-0.22093844211394276,-0.11860377326504923,-31.14283119949152,-18.81638054324234
mask ALL GIP edges,0.6561055425287948,0.035134071788275614,0.6034943039473243,0.03043361136052362,-0.05333041304851982,-0.026827627480897398,-7.517297739035704,-4.256178651456683
mask GIP circRNA–circRNA,0.6975005797624262,0.042414960845259836,0.6320783067958876,0.04093686099921279,-0.01193537581488846,0.00175637536766593,-1.6823753745573637,0.2786473514710535
baseline,0.7094359555773146,0.03134090154084363,0.6303219314282217,0.020534982666904334,0.0,0.0,0.0,0.0
mask circRNA–disease edges,0.8064443814579093,0.0183450829544081,0.8158462158752198,0.02555049051860011,0.09700842588059466,0.1855242844469981,13.674021610823564,29.433258656671825
